,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time
210,2,90,15416.275,1,80,70,0.5620597952291361,0.437940204770864,15419.275
211,2,91,5270.916,0,80,93,0.6851331262570924,0.31486687374290756,5270.916
212,2,92,5931.903,1,82,80,0.5605242187050898,0.43947578129491016,5931.903
213,2,93,4572.768,1,50,41,0.49865895115234554,0.5013410488476545,4574.768
214,2,94,5824.12,0,96,110,0.5927959791511541,0.4072040208488459,5824.12
215,2,95,8615.398000000001,1,80,85,0.607625245535236,0.39237475446476394,8617.398000000001
216,2,96,8031.564,1,60,50,0.6140447658012625,0.3859552341987374,8031.564
217,2,97,2722.327,0,41,50,0.6611261440400853,0.3388738559599147,2722.327
218,2,98,14101.24,1,110,96,0.5288231555080831,0.47117684449191694,14104.24
219,2,99,8237.123,0,72,80,0.49475138121546963,0.5052486187845304,8402.123
220,2,100,5628.714,0,49,50,0.7133157911068847,0.28668420889311536,5463.714
221,2,101,7812.105,0,43,50,0.6498722497896249,0.35012775021037507,7812.105
222,2,102,13191.96,0,51,50,0.5983010407792656,0.40169895922073434,13193.96
223,2,103,7394.705,0,112,110,0.5558483583402003,0.44415164165979976,7397.705
224,2,104,13209.633,0,40,50,0.603075628347425,0.39692437165257494,13209.633
225,2,105,9956.088,0,50,51,0.545698003350395,0.45430199664960497,9956.088
226,2,106,11160.33,0,85,80,0.6221327920379536,0.3778672079620465,11160.33
227,2,107,10567.69,1,50,49,0.6325756614970295,0.36742433850297046,10567.69
228,2,108,3856.248,1,50,43,0.518198926971788,0.48180107302821196,3856.248
229,2,109,9273.443,0,80,82,0.5768623505061726,0.42313764949382743,9273.443000000001
230,2,110,2950.943,0,50,60,0.7088174274240305,0.29118257257596947,2950.9429999999998
231,2,111,13342.428,0,53,50,0.5741742970871252,0.4258257029128748,13345.428
232,2,112,7723.314,1,122,110,0.5680738029803235,0.4319261970196765,7723.314
233,2,113,4339.511,0,67,80,0.7082394378491411,0.2917605621508589,4339.5109999999995
234,2,114,5191.56,1,80,67,0.5767572229409228,0.42324277705907726,5194.56
235,2,115,4657.154,0,70,80,0.6098841368761634,0.3901158631238366,4660.154
236,2,116,5824.51,0,110,122,0.5630317291139979,0.43696827088600204,5826.51
237,2,117,18900.494,0,110,115,0.6597055617790256,0.3402944382209743,18903.494
238,2,118,4334.927,0,110,112,0.7351883834566971,0.26481161654330293,4334.927
239,2,119,8621.08,0,110,103,0.5847888632410168,0.4152111367589832,8621.08
240,3,0,4612.844,1,110,131,0.5331378034722497,0.4668621965277503,4612.844
241,3,1,3098.9640000000004,0,47,50,0.6945414558154216,0.30545854418457835,3098.9640000000004
242,3,2,3949.32,0,50,44,0.7031518624641834,0.2968481375358166,4366.320000000001
243,3,3,3992.314,1,57,50,0.48946749851901117,0.5105325014809888,3575.3140000000003
244,3,4,3063.877,0,42,50,0.678125,0.321875,3376.877
245,3,5,6334.299,1,108,110,0.5453972639458695,0.4546027360541305,6021.299
246,3,6,3503.517000000001,0,78,80,0.6811750103697828,0.31882498963021716,3503.5170000000003
247,3,7,5757.464,1,110,92,0.38225524352779466,0.6177447564722054,5757.464
248,3,8,4202.759,1,50,48,0.4249678850564052,0.5750321149435949,4202.759
249,3,9,3362.251,1,110,101,0.415566809929626,0.584433190070374,3362.2509999999997
250,3,10,4765.607,0,46,50,0.5428268670518288,0.45717313294817113,4765.607
251,3,11,4393.51,0,80,83,0.5021186440677966,0.4978813559322034,4634.51
252,3,12,2648.53,0,50,56,0.7073170731707317,0.2926829268292683,2739.53
253,3,13,3205.018,1,50,47,0.4805255043605429,0.519474495639457,2876.018
254,3,14,2249.129,0,110,124,0.607803647426079,0.3921963525739211,2249.129
255,3,15,3368.787000000001,1,91,80,0.41020265548567436,0.5897973445143256,3623.7870000000003
256,3,16,1595.809,0,64,80,0.6986893733559366,0.3013106266440634,1340.809
257,3,17,2598.623,0,83,80,0.6474840091906706,0.3525159908093293,2598.623
258,3,18,3256.513,1,101,110,0.4584219643682326,0.5415780356317673,3256.513
259,3,19,2950.898,1,56,50,0.34608203540323706,0.653917964596763,2950.8979999999997
260,3,20,2088.328,0,50,42,0.598893499308437,0.40110650069156295,2407.328
261,3,21,2892.78,0,110,117,0.5540008000749007,0.44599919992509934,2573.78
262,3,22,3153.39,1,77,80,0.46307781361118006,0.5369221863888199,3153.39
263,3,23,3489.703,0,80,91,0.5811189027097724,0.41888109729022766,3489.703
264,3,24,1597.213,0,44,50,0.6383083986542523,0.3616916013457477,1597.213
265,3,25,2715.458,0,50,57,0.6660746003552398,0.3339253996447602,2936.458
266,3,26,3544.648,1,50,46,0.4582319545823195,0.5417680454176804,3682.6479999999992
267,3,27,5488.943,1,110,108,0.31514976713160536,0.6848502328683946,5129.943
268,3,28,2793.11,1,133,110,0.4506172102336283,0.5493827897663717,2793.11
269,3,29,3888.358,1,131,110,0.5066760365425158,0.4933239634574842,4281.358
270,3,30,3968.847,1,126,110,0.4082806210465785,0.5917193789534215,3894.847
271,3,31,5034.733,0,110,133,0.5920663167084285,0.40793368329157154,4715.733
272,3,32,2112.499,0,110,126,0.618020304568528,0.3819796954314721,2444.499
273,3,33,2296.6620000000007,0,48,50,0.6661003266719671,0.333899673328033,1964.6620000000003
274,3,34,3646.655,0,80,77,0.7505651846269782,0.24943481537302187,3878.655
275,3,35,4058.004,1,117,110,0.46983240223463685,0.5301675977653632,4173.004000000001
276,3,36,4104.806,1,80,64,0.40571088637715647,0.5942891136228435,4107.806
277,3,37,2157.565,0,80,78,0.6334894613583139,0.3665105386416862,2066.565
278,3,38,5902.977,1,124,110,0.4177185199553186,0.5822814800446814,5643.977
279,3,39,3965.283,0,92,110,0.7280178837555886,0.2719821162444113,4238.282999999999
280,3,40,2874.212,1,128,110,0.5899403239556692,0.4100596760443308,3179.212
281,3,41,1905.035,0,50,58,0.6112585037202312,0.38874149627976884,1600.035
282,3,42,3598.064000000001,0,54,50,0.6001333724425458,0.39986662755745417,3598.0640000000003
283,3,43,4363.497,1,80,69,0.4947603789057152,0.5052396210942848,4363.497
284,3,44,3112.865,0,105,110,0.7280779450841453,0.27192205491585475,3425.865
285,3,45,1884.503,0,55,50,0.4844290657439446,0.5155709342560554,1832.5029999999997
286,3,46,1983.844,0,96,80,0.6633473489184163,0.3366526510815837,1722.844
287,3,47,3481.898,1,80,75,0.40713018381072497,0.5928698161892751,3481.8979999999992
288,3,48,1740.578,0,110,128,0.6444947573432744,0.35550524265672556,1740.578
289,3,49,2775.34,1,59,50,0.42562635237423413,0.5743736476257659,2775.34
290,3,50,3192.21,0,110,119,0.5122978989434273,0.48770210105657275,3192.21
291,3,51,2788.262,0,52,50,0.4699145604270356,0.5300854395729644,2788.262
292,3,52,2021.154,0,58,50,0.638904892838702,0.36109510716129795,2021.154
293,3,53,2046.904,0,119,110,0.631079478054567,0.36892052194543296,2337.904
294,3,54,2458.908,0,74,80,0.6678807096733157,0.3321192903266843,2167.908
295,3,55,11284.041,0,86,80,0.6955645161290323,0.30443548387096775,11590.041000000001
296,3,56,2205.452,0,66,80,0.6887201735357917,0.31127982646420826,2061.452
297,3,57,2938.959000000001,1,50,59,0.4464579901153213,0.5535420098846787,3131.9590000000003
