parcode,trial,fix_item,fix_time,rt,block
1,76,2,381.75,3381.75,LESS
1,77,0,274,2209.993,LESS
1,77,1,980,2209.993,LESS
1,77,2,602,2209.993,LESS
1,77,1,353.993,2209.993,LESS
1,78,0,171,3602.313,LESS
1,78,1,772,3602.313,LESS
1,78,2,674,3602.313,LESS
1,78,1,844,3602.313,LESS
1,78,2,1141.313,3602.313,LESS
1,79,0,191,2506.099,LESS
1,79,1,1144,2506.099,LESS
1,79,2,816,2506.099,LESS
1,79,1,355.099,2506.099,LESS
1,80,0,171,1734.284,MORE
1,80,1,868,1734.284,MORE
1,80,0,266,1734.284,MORE
1,80,2,429.284,1734.284,MORE
1,81,0,235,6555.37,MORE
1,81,1,314,6555.37,MORE
1,81,2,680,6555.37,MORE
1,81,1,696,6555.37,MORE
1,81,2,770,6555.37,MORE
1,81,1,1490,6555.37,MORE
1,81,0,288,6555.37,MORE
1,81,1,2082.37,6555.37,MORE
1,82,0,161,3174.566,MORE
1,82,1,696,3174.566,MORE
1,82,2,632,3174.566,MORE
1,82,1,704,3174.566,MORE
1,82,2,726,3174.566,MORE
1,82,1,255.566,3174.566,MORE
1,83,0,136,2877.579,MORE
1,83,1,832,2877.579,MORE
1,83,2,620,2877.579,MORE
1,83,1,836,2877.579,MORE
1,83,2,453.579,2877.579,MORE
1,84,0,150,1806.31,MORE
1,84,1,866,1806.31,MORE
1,84,2,790.31,1806.31,MORE
1,85,0,67,3636.816,MORE
1,85,1,574,3636.816,MORE
1,85,0,376,3636.816,MORE
1,85,2,638,3636.816,MORE
1,85,1,778,3636.816,MORE
1,85,2,768,3636.816,MORE
1,85,1,435.816,3636.816,MORE
1,86,0,61,3650.266,MORE
1,86,1,2448,3650.266,MORE
1,86,2,1141.266,3650.266,MORE
1,87,0,240,3078.223,MORE
1,87,1,604,3078.223,MORE
1,87,2,682,3078.223,MORE
1,87,1,512,3078.223,MORE
1,87,2,552,3078.223,MORE
1,87,1,488.223,3078.223,MORE
1,88,0,216,1259.268,MORE
1,88,1,530,1259.268,MORE
1,88,2,513.268,1259.268,MORE
1,89,0,248,3440.738,MORE
1,89,1,746,3440.738,MORE
1,89,2,730,3440.738,MORE
1,89,1,684,3440.738,MORE
1,89,2,680,3440.738,MORE
1,89,1,352.738,3440.738,MORE
1,90,0,1867,5698.027,MORE
1,90,1,1508,5698.027,MORE
1,90,2,690,5698.027,MORE
1,90,1,722,5698.027,MORE
1,90,2,911.027,5698.027,MORE
1,91,0,274,8224.467,MORE
1,91,1,1166,8224.467,MORE
1,91,2,742,8224.467,MORE
1,91,1,848,8224.467,MORE
1,91,2,876,8224.467,MORE
1,91,1,2122,8224.467,MORE
1,91,2,1012,8224.467,MORE
1,91,1,862,8224.467,MORE
1,91,2,322.467,8224.467,MORE
1,92,0,147,2626.168,MORE
1,92,1,958,2626.168,MORE
1,92,2,698,2626.168,MORE
1,92,1,694,2626.168,MORE
1,92,2,129.168,2626.168,MORE
1,93,3,8,2626.168,MORE
1,93,1,796,1991.413,MORE
1,93,2,596,1991.413,MORE
1,93,1,591.413,1991.413,MORE
1,94,0,187,1671.149,MORE
1,94,1,754,1671.149,MORE
1,94,2,730.149,1671.149,MORE
1,95,3,39,1671.149,MORE
1,95,1,1094,2607.607,MORE
1,95,2,652,2607.607,MORE
1,95,1,822.607,2607.607,MORE
1,96,0,172,1527.826,MORE
1,96,1,642,1527.826,MORE
1,96,2,713.826,1527.826,MORE
1,97,0,172,5043.16,MORE
1,97,1,806,5043.16,MORE
1,97,2,574,5043.16,MORE
1,97,1,520,5043.16,MORE
1,97,2,958,5043.16,MORE
1,97,1,906,5043.16,MORE
1,97,2,862,5043.16,MORE
1,97,1,245.16,5043.16,MORE
1,98,0,283,2267.665,MORE
1,98,1,1098,2267.665,MORE
1,98,2,886.665,2267.665,MORE
1,99,0,249,4499.543,MORE
1,99,1,1152,4499.543,MORE
1,99,2,736,4499.543,MORE
1,99,1,1102,4499.543,MORE
1,99,2,866,4499.543,MORE
1,99,1,394.543,4499.543,MORE
1,100,0,664,5571.061,MORE
1,100,1,1066,5571.061,MORE
1,100,2,976,5571.061,MORE
1,100,1,774,5571.061,MORE
1,100,2,1108,5571.061,MORE
1,100,1,983.061,5571.061,MORE
1,101,0,132,2045.641,MORE
1,101,1,1260,2045.641,MORE
1,101,2,653.641,2045.641,MORE
1,102,0,176,1402.112,MORE
1,102,1,534,1402.112,MORE
1,102,2,692.112,1402.112,MORE
1,103,0,67,2736.625,MORE
1,103,1,1034,2736.625,MORE
1,103,2,662,2736.625,MORE
1,103,1,476,2736.625,MORE
1,103,2,497.625,2736.625,MORE
1,104,0,8,2065.604,MORE
1,104,1,936,2065.604,MORE
1,104,0,286,2065.604,MORE
1,104,2,835.604,2065.604,MORE
1,105,0,192,3058.203,MORE
1,105,1,994,3058.203,MORE
1,105,2,582,3058.203,MORE
1,105,1,598,3058.203,MORE
1,105,2,692.203,3058.203,MORE
1,106,0,195,1613.454,MORE
1,106,1,688,1613.454,MORE
1,106,2,730.454,1613.454,MORE
1,107,3,48,1613.454,MORE
1,107,1,1036,1931.482,MORE
1,107,2,847.482,1931.482,MORE
1,108,0,55,4895.517,MORE
1,108,1,2124,4895.517,MORE
1,108,2,662,4895.517,MORE
1,108,1,766,4895.517,MORE
1,108,2,798,4895.517,MORE
1,108,1,490.517,4895.517,MORE
1,109,0,183,3197.86,MORE
1,109,1,1176,3197.86,MORE
1,109,2,734,3197.86,MORE
1,109,1,484,3197.86,MORE
1,109,0,142,3197.86,MORE
1,109,2,478.86,3197.86,MORE
1,110,0,260,2000.688,MORE
1,110,1,890,2000.688,MORE
1,110,2,850.688,2000.688,MORE
1,111,0,228,1921.251,MORE
1,111,1,1012,1921.251,MORE
1,111,2,681.251,1921.251,MORE
1,112,3,52,1921.251,MORE
1,112,1,1044,2050.497,MORE
1,112,2,954.497,2050.497,MORE
1,113,0,226,2219.756,MORE
1,113,1,584,2219.756,MORE
1,113,2,1409.756,2219.756,MORE
1,114,0,192,1635.473,MORE
1,114,1,710,1635.473,MORE
1,114,0,84,1635.473,MORE
1,114,2,649.473,1635.473,MORE
1,115,0,42,5608.432,MORE
1,115,1,902,5608.432,MORE
1,115,2,898,5608.432,MORE
1,115,1,376,5608.432,MORE
1,115,2,736,5608.432,MORE
1,115,1,878,5608.432,MORE
1,115,2,1036,5608.432,MORE
1,115,1,740.432,5608.432,MORE
1,116,0,193,4443.018,MORE
1,116,1,938,4443.018,MORE
1,116,2,996,4443.018,MORE
1,116,1,888,4443.018,MORE
1,116,2,844,4443.018,MORE
1,116,1,584.018,4443.018,MORE
1,117,0,200,2620.927,MORE
1,117,1,640,2620.927,MORE
1,117,2,740,2620.927,MORE
1,117,1,630,2620.927,MORE
1,117,2,410.927,2620.927,MORE
1,118,0,187,1725.903,MORE
1,118,1,860,1725.903,MORE
1,118,2,678.903,1725.903,MORE
1,119,0,30,3225.23,MORE
1,119,1,994,3225.23,MORE
