,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
81,1,81,2849.513,1,50,40,0.554174031,0.445825969,2699.513
82,1,82,1540.393,1,80,88,0.366176609,0.633823391,1540.393
83,1,83,2342.863,0,115,110,0.6881492,0.3118508,2342.863
84,1,84,2502.521,1,103,110,0.501892378,0.498107622,2504.521
85,1,85,1799.627,0,90,80,0.646072094,0.353927906,1802.627
86,1,86,5352.23,1,80,72,0.710009833,0.289990167,5352.23
87,1,87,2424.21,0,93,80,0.790100859,0.209899141,2424.21
88,1,88,1269.404,1,80,90,0.560204249,0.439795751,1269.404
89,1,89,2779.274,0,88,80,0.467913508,0.532086492,2779.274
90,1,90,2537.132,0,80,70,0.731071178,0.268928822,2537.132
91,1,91,2351.272,1,80,93,0.50418983,0.49581017,2354.272
92,1,92,2358.716,0,82,80,0.598399804,0.401600196,2358.716
93,1,93,2684.724,0,50,41,0.524504748,0.475495252,2687.724
94,1,94,1983.477,1,96,110,0.542169463,0.457830537,1983.477
95,1,95,4650.79,1,80,85,0.563355808,0.436644192,4650.79
96,1,96,3835.065,0,60,50,0.644743172,0.355256828,3835.065
97,1,97,3849.206,1,41,50,0.69547671,0.30452329,3849.206
98,1,98,3243.343,0,110,96,0.756965873,0.243034127,3243.343
99,1,99,1644.584,1,72,80,0.60673106,0.39326894,1644.584
100,1,100,1274.981,1,49,50,0.4332852,0.5667148,1274.981
101,1,101,2589.055,1,43,50,0.443062768,0.556937232,2591.055
102,1,102,2300.565,0,51,50,0.652261079,0.347738921,2300.565
103,1,103,2922.026,0,112,110,0.766900278,0.233099722,2922.026
104,1,104,1135.847,1,40,50,0.422159955,0.577840045,1135.847
105,1,105,1991.672,1,50,51,0.519142567,0.480857433,1993.672
106,1,106,1851.808,0,85,80,0.678951108,0.321048892,1851.808
107,1,107,1321.034,1,50,49,0.534778591,0.465221409,1321.034
108,1,108,4003.124,1,50,43,0.636556432,0.363443568,4006.124
109,1,109,1954.281,0,80,82,0.673015781,0.326984219,1957.281
110,1,110,2030.128,1,50,60,0.511133784,0.488866216,2030.128
111,1,111,1964.125,0,53,50,0.725773868,0.274226132,1964.125
112,1,112,2014.069,0,122,110,0.705273351,0.294726649,2014.069
113,1,113,1598.829,1,67,80,0.492025778,0.507974222,1598.829
114,1,114,1453.603,1,80,67,0.436673937,0.563326063,1453.603
115,1,115,1977.727,1,70,80,0.716265795,0.283734205,1980.727
116,1,116,1623.897,1,110,122,0.440965261,0.559034739,1623.897
