name,parcode,trial,fix_item,fix_time,rt,block
p1.edf,1,3,1,262,8144,2.0
p1.edf,1,3,1,240,8144,2.0
p1.edf,1,3,1,322,8144,2.0
p1.edf,1,3,1,202,8144,2.0
p1.edf,1,3,1,424,8144,2.0
p1.edf,1,3,0,238,8144,2.0
p1.edf,1,3,1,784,8144,2.0
p1.edf,1,3,1,225,8144,2.0
p1.edf,1,4,3,0,8144,2.0
p1.edf,1,4,1,202,6559,2.0
p1.edf,1,4,0,184,6559,2.0
p1.edf,1,4,0,296,6559,2.0
p1.edf,1,4,1,332,6559,2.0
p1.edf,1,4,1,386,6559,2.0
p1.edf,1,4,1,108,6559,2.0
p1.edf,1,4,2,456,6559,2.0
p1.edf,1,4,2,484,6559,2.0
p1.edf,1,4,2,246,6559,2.0
p1.edf,1,4,2,396,6559,2.0
p1.edf,1,4,1,260,6559,2.0
p1.edf,1,4,1,350,6559,2.0
p1.edf,1,4,1,600,6559,2.0
p1.edf,1,4,1,234,6559,2.0
p1.edf,1,4,1,258,6559,2.0
p1.edf,1,4,1,262,6559,2.0
p1.edf,1,4,1,102,6559,2.0
p1.edf,1,4,2,334,6559,2.0
p1.edf,1,4,2,262,6559,2.0
p1.edf,1,4,1,452,6559,2.0
p1.edf,1,4,1,276,6559,2.0
p1.edf,1,4,1,79,6559,2.0
p1.edf,1,5,3,336,5595,2.0
p1.edf,1,5,1,166,5595,2.0
p1.edf,1,5,1,308,5595,2.0
p1.edf,1,5,1,264,5595,2.0
p1.edf,1,5,2,954,5595,2.0
p1.edf,1,5,0,204,5595,2.0
p1.edf,1,5,1,388,5595,2.0
p1.edf,1,5,1,456,5595,2.0
p1.edf,1,5,1,378,5595,2.0
p1.edf,1,5,1,654,5595,2.0
p1.edf,1,5,1,178,5595,2.0
p1.edf,1,5,1,528,5595,2.0
p1.edf,1,5,2,340,5595,2.0
p1.edf,1,5,1,441,5595,2.0
p1.edf,1,6,3,250,2470,2.0
p1.edf,1,6,1,246,2470,2.0
p1.edf,1,6,1,308,2470,2.0
p1.edf,1,6,1,178,2470,2.0
p1.edf,1,6,2,448,2470,2.0
p1.edf,1,6,2,314,2470,2.0
p1.edf,1,6,2,382,2470,2.0
p1.edf,1,6,2,344,2470,2.0
p1.edf,1,7,3,281,6091,2.0
p1.edf,1,7,1,192,6091,2.0
p1.edf,1,7,1,192,6091,2.0
p1.edf,1,7,1,172,6091,2.0
p1.edf,1,7,1,262,6091,2.0
p1.edf,1,7,0,226,6091,2.0
p1.edf,1,7,2,396,6091,2.0
p1.edf,1,7,2,172,6091,2.0
p1.edf,1,7,2,546,6091,2.0
p1.edf,1,7,2,312,6091,2.0
p1.edf,1,7,2,194,6091,2.0
p1.edf,1,7,2,680,6091,2.0
p1.edf,1,7,1,266,6091,2.0
p1.edf,1,7,1,302,6091,2.0
p1.edf,1,7,1,302,6091,2.0
p1.edf,1,7,1,344,6091,2.0
p1.edf,1,7,2,360,6091,2.0
p1.edf,1,7,2,328,6091,2.0
p1.edf,1,7,2,372,6091,2.0
p1.edf,1,7,2,192,6091,2.0
p1.edf,1,8,3,273,4669,2.0
p1.edf,1,8,0,176,4669,2.0
p1.edf,1,8,1,326,4669,2.0
p1.edf,1,8,1,250,4669,2.0
p1.edf,1,8,2,460,4669,2.0
p1.edf,1,8,2,434,4669,2.0
p1.edf,1,8,2,224,4669,2.0
p1.edf,1,8,1,384,4669,2.0
p1.edf,1,8,1,324,4669,2.0
p1.edf,1,8,1,210,4669,2.0
p1.edf,1,8,1,276,4669,2.0
p1.edf,1,8,2,302,4669,2.0
p1.edf,1,8,2,1030,4669,2.0
p1.edf,1,9,3,506,4001,2.0
p1.edf,1,9,1,404,4001,2.0
p1.edf,1,9,1,190,4001,2.0
p1.edf,1,9,2,1242,4001,2.0
p1.edf,1,9,2,376,4001,2.0
p1.edf,1,9,2,286,4001,2.0
p1.edf,1,9,2,710,4001,2.0
p1.edf,1,9,2,287,4001,2.0
p1.edf,1,10,3,308,3301,2.0
p1.edf,1,10,1,144,3301,2.0
p1.edf,1,10,1,194,3301,2.0
p1.edf,1,10,1,112,3301,2.0
p1.edf,1,10,1,248,3301,2.0
p1.edf,1,10,2,340,3301,2.0
p1.edf,1,10,2,182,3301,2.0
p1.edf,1,10,2,242,3301,2.0
p1.edf,1,10,2,418,3301,2.0
p1.edf,1,10,1,324,3301,2.0
p1.edf,1,10,1,236,3301,2.0
p1.edf,1,10,1,252,3301,2.0
p1.edf,1,10,1,170,3301,2.0
p1.edf,1,10,1,131,3301,2.0
p1.edf,1,11,3,277,2867,2.0
p1.edf,1,11,1,168,2867,2.0
p1.edf,1,11,1,194,2867,2.0
p1.edf,1,11,1,458,2867,2.0
p1.edf,1,11,2,372,2867,2.0
p1.edf,1,11,2,254,2867,2.0
p1.edf,1,11,2,432,2867,2.0
p1.edf,1,11,1,340,2867,2.0
p1.edf,1,11,1,372,2867,2.0
p1.edf,1,12,3,239,3117,2.0
p1.edf,1,12,1,192,3117,2.0
p1.edf,1,12,1,202,3117,2.0
p1.edf,1,12,1,416,3117,2.0
p1.edf,1,12,2,334,3117,2.0
p1.edf,1,12,2,234,3117,2.0
p1.edf,1,12,2,370,3117,2.0
p1.edf,1,12,1,460,3117,2.0
p1.edf,1,12,1,188,3117,2.0
p1.edf,1,12,2,334,3117,2.0
p1.edf,1,12,2,148,3117,2.0
p1.edf,1,13,3,205,10424,2.0
p1.edf,1,13,1,170,10424,2.0
p1.edf,1,13,1,226,10424,2.0
p1.edf,1,13,1,200,10424,2.0
p1.edf,1,13,1,770,10424,2.0
p1.edf,1,13,2,402,10424,2.0
p1.edf,1,13,2,264,10424,2.0
p1.edf,1,13,2,722,10424,2.0
p1.edf,1,13,1,290,10424,2.0
p1.edf,1,13,1,402,10424,2.0
p1.edf,1,13,1,184,10424,2.0
p1.edf,1,13,2,348,10424,2.0
p1.edf,1,13,2,286,10424,2.0
p1.edf,1,13,2,184,10424,2.0
p1.edf,1,13,1,356,10424,2.0
p1.edf,1,13,1,662,10424,2.0
p1.edf,1,13,1,402,10424,2.0
p1.edf,1,13,1,352,10424,2.0
p1.edf,1,13,2,328,10424,2.0
p1.edf,1,13,2,240,10424,2.0
p1.edf,1,13,0,156,10424,2.0
p1.edf,1,13,2,324,10424,2.0
p1.edf,1,13,2,170,10424,2.0
p1.edf,1,13,1,274,10424,2.0
p1.edf,1,13,1,354,10424,2.0
p1.edf,1,13,1,372,10424,2.0
p1.edf,1,13,1,552,10424,2.0
p1.edf,1,13,2,364,10424,2.0
