,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
104,0,104,4432,0,1.7,2.3,0.662248405,0.337751595
105,0,105,1759,1,1.1,2,0.375959079,0.624040921
106,0,106,1533,1,1.1,2,0.319634703,0.680365297
107,0,107,1556,0,1.25,0.65,0.494219653,0.505780347
108,0,108,1545,0,1.55,1.55,0.561685824,0.438314176
109,0,109,1291,1,1.7,2,0.333075136,0.666924864
110,0,110,1544,1,1.4,1.55,0.388305847,0.611694153
111,0,111,4190,1,0.65,0.95,0.48040201,0.51959799
112,0,112,1712,1,0.65,1.85,0.371495327,0.628504673
113,0,113,2958,1,1.55,0.95,0.500547246,0.499452754
114,0,114,1618,0,2.3,0.95,0.659269864,0.340730136
115,0,115,1474,0,2,1.7,0.696065129,0.303934871
116,0,116,1715,0,2,1.25,0.596549436,0.403450564
117,0,117,1819,1,1.1,1.1,0.378229797,0.621770203
118,0,118,1454,1,0.95,1.1,0.526170799,0.473829201
119,0,119,3480,0,0.8,0.95,0.658266749,0.341733251
120,1,0,3113,1,0.5,0.8,0.530627306,0.469372694
121,1,1,4273,1,0.05,0.5,0.521665729,0.478334271
122,1,2,2400,0,0.5,0.2,0.555833333,0.444166667
123,1,3,2710,1,0.35,0.5,0.686715867,0.313284133
124,1,4,3446,0,0.5,0.2,0.579752796,0.420247204
125,1,5,3993,0,0.65,0.5,0.772656655,0.227343345
126,1,6,2389,0,0.65,0.05,0.742570113,0.257429887
127,1,7,1404,0,0.2,0,0.41025641,0.58974359
128,1,8,3249,1,0.05,0.2,0.414896891,0.585103109
129,1,9,1822,0,0.35,0,0.365532382,0.634467618
130,1,10,1994,0,0.2,0,0.5,0.5
131,1,11,2700,0,0.65,0.2,0.558148148,0.441851852
132,1,12,1886,0,0.5,0,0.652173913,0.347826087
133,1,13,3326,1,0.65,0.65,0.565844859,0.434155141
134,1,14,3299,1,0.2,0.8,0.193998181,0.806001819
135,1,15,2521,1,0,0.65,0.427845959,0.572154041
136,1,16,2952,0,0.05,0.5,0.571138211,0.428861789
137,1,17,2415,0,0.35,0.2,0.490066225,0.509933775
138,1,18,3498,1,0.2,0.2,0.961875,0.038125
139,1,19,2270,1,0,0.2,0.634801762,0.365198238
140,1,20,2513,1,0.35,0.5,0.374548374,0.625451626
141,1,21,2738,1,0.65,0.35,0.757487217,0.242512783
142,1,22,3314,0,0.35,0.5,0.679079625,0.320920375
143,1,23,3086,1,0.05,0.2,0.737848347,0.262151653
144,1,24,2393,1,0.5,0.5,0.378213508,0.621786492
145,1,25,2560,1,0.05,0.2,0.671875,0.328125
146,1,26,3130,0,0.65,0.35,0.671848014,0.328151986
147,1,27,4404,0,0.65,0.5,0.62102634,0.37897366
148,1,28,1777,0,0.65,0.2,0.375351716,0.624648284
149,1,29,2386,0,0.5,0.35,0.432664756,0.567335244
150,1,30,2762,0,0.5,0.35,0.652561247,0.347438753
151,1,31,1868,0,0.65,0.2,0.632226981,0.367773019
152,1,32,2631,0,0.65,0.65,0.767388826,0.232611174
153,1,33,3073,0,0.65,0.5,0.751057598,0.248942402
154,1,34,2059,1,0,0.35,0.629834254,0.370165746
155,1,35,1611,1,0.2,0.65,0.453183521,0.546816479
156,1,36,1721,0,0.5,0,0.399515738,0.600484262
157,1,37,2535,1,0.2,0,0.708276177,0.291723823
158,1,38,2177,1,0.65,0.5,0.386311438,0.613688562
159,1,39,2577,1,0,0.65,0.564744287,0.435255713
160,1,40,2362,1,0.2,0.65,0.34537246,0.65462754
161,1,41,1504,1,0,0.2,0.617021277,0.382978723
162,1,42,1769,0,0.5,0.05,0.614927905,0.385072095
163,1,43,1998,1,0.35,0.05,0.636268344,0.363731656
164,1,44,1194,1,0.35,0.5,0.529313233,0.470686767
165,1,45,1135,1,0.05,0.65,0.525110132,0.474889868
166,1,46,1716,0,0.65,0.5,0.667249417,0.332750583
167,1,47,1320,0,0.5,0.65,0.591666667,0.408333333
168,1,48,1241,1,0.2,0.5,0.6365834,0.3634166
